"Rain","Fullmetal Alchemist: Brotherhood (5)","https://www.youtube.com/watch?v=cRA5gsdCf4c"
"Colors","Code Geass (1)","https://www.youtube.com/watch?v=G8CFuZ9MseQ"
"Hacking to the Gate","Steins;Gate","https://www.youtube.com/watch?v=dd7BILZcYAY"
"Sing my Pleasure","Vivy: Fluorite Eye's Song","https://www.youtube.com/watch?v=2p8ig-TrYPY"
"World End","Code Geass (5)","https://www.youtube.com/watch?v=osKkMKolWQ8"
"Departure!","Hunter x Hunter","https://www.youtube.com/watch?v=PsklRGotMnQ"
"Duvet","Serial Experiments Lain","https://www.youtube.com/watch?v=JlBLcLdTYr4"
"Connect","Puella Magi Madoka Magica","https://www.youtube.com/watch?v=OrgpX-_bFqM"
"A Cruel Angel's Thesis","Neon Genesis Evangelion","https://www.youtube.com/watch?v=b9TE3226T-g"
"Period","Fullmetal Alchemist: Brotherhood (4)","https://www.youtube.com/watch?v=KMZBauH47Jo"
"Tank!","Cowboy Bebop","https://www.youtube.com/watch?v=EL-D9LrFJd4"
"Platinum Disco","Nisemonogatari (3)","https://vimeo.com/79389042"
"Fatima","Steins;Gate 0","https://www.youtube.com/watch?v=1xJbdY9B3A8"
"My Soul,Your Beats!","Angel Beats!","https://www.youtube.com/watch?v=Turf7WDB3iY"
"Peanuts","Spy x Family (1)","https://www.youtube.com/watch?v=U_rWZK_8vUY"
"The Girls are Alright","A Place Further Than The Universe","https://www.youtube.com/watch?v=DaTzRcSyEWc"
"Grain","Monster","https://www.youtube.com/watch?v=msTB5r8nUHU"
"Chocolate Insomnia","Nekomonogatari White","https://www.youtube.com/watch?v=xhZQ46ZRzq0"
"Ambiguous","Kill la Kill (2)","https://www.youtube.com/watch?v=qaLeO-2Fytg"
"Bloody Stream","JoJo's Bizarre Adventure (2)","https://www.youtube.com/watch?v=qaLeO-2Fytg"
"White Lies","Onimonogatari","https://www.dailymotion.com/video/x6kuqmc"
"Out of Control","Psycho-Pass (2)","https://www.youtube.com/watch?v=qaLeO-2Fytg"
"Let Me Hear","Parasyte -the maxim-","https://www.youtube.com/watch?v=qaLeO-2Fytg"
"Around the World","Initial D First Stage (1)","https://www.youtube.com/watch?v=CJAF-1TAM7g"
"Sugar Sweet Nightmare","Bakemonogatari (5)","https://www.youtube.com/watch?v=DOTi2YB726I"
"Mathemagics","Owarimonogatari (2)","https://vimeo.com/150477636"
"Seize the Day","Laid-Back Camp (2)","https://www.youtube.com/watch?v=pNNwudhgvEY"
"Trigger","Terror in Resonance","https://www.youtube.com/watch?v=g1ARRcK4LVs"
"Ugoku, Ugoku","Girls' Last Tour","https://www.youtube.com/watch?v=hX-DA5SH0F4"
"Treacherous Sunset","Durarara!! (1)","https://www.youtube.com/watch?v=frfompwkApw"
"Sono Chi no Sadame","JoJo's Bizarre Adventure (1)","https://www.youtube.com/watch?v=BW4H15rK6iI"
"Sorario Days","Gurren Lagann","https://www.youtube.com/watch?v=FwgMxjhXkKo"
"Meiya Kadenrou","Katanagatari (1)","https://www.youtube.com/watch?v=7lP8Y-NySfQ"
"Shiny Days","Laid-Back Camp (1)","https://www.youtube.com/watch?v=7-EwChG1WTA"
"Golden Time Lover","Fullmetal Alchemist: Brotherhood (3)","https://www.youtube.com/watch?v=fdjZtaDepfA"
"Perfect Slumbers","Nekomonogatari Black","https://www.youtube.com/watch?v=MdMH9K4L-4g"
"Again","Fullmetal Alchemist: Brotherhood (1)","https://www.youtube.com/watch?v=ShEAiFqkY0E"
"Fast Love/Kogarashi Sentiment","Koimonogatari","https://www.youtube.com/watch?v=LLlytsgLcr4"
"Galaxy Anthem","Vivy: Fluorite Eye's Song  (Episode 7)","https://www.youtube.com/watch?v=8ttyMfQHkQQ"
"We're not Alone","Rainbow","https://www.youtube.com/watch?v=ibkhGFKhyW8"
"My Hero","Inuyashiki","https://www.youtube.com/watch?v=39rQjff0k5Q"
"Outsoar the Rainbow","Initial D Final Stage","https://www.youtube.com/watch?v=_FsCuvh25tY"
"Yuudachi Houteishiki","Owarimonogatari (3)","https://www.dailymotion.com/video/x6kurop"
"Ask DNA","Cowboy Bebop: The Movie","https://www.youtube.com/watch?v=zs3pYBQhtkM"
"Hyadain no Kakakata Kataomoi-C","Nichijou (1)","https://www.youtube.com/watch?v=qUk1ZoCGqsA&t=1s"
"Colorful","Puella Magi Madoka Magica: Rebellion","https://www.youtube.com/watch?v=uPcoOaZDKiA"
"G.P.","Great Pretender","https://www.youtube.com/watch?v=Yjv_yFgHYc0"
"Mirai wa Bokura no Te no Naka","Kaiji (1)","https://www.youtube.com/watch?v=j7myzgxz9nI"
"Happy Bite","Kabukimonogatari","https://www.youtube.com/watch?v=R03ez4e5shQ"
"Fantastic Dreamer","Konosuba (1)","https://www.youtube.com/watch?v=fpG3BPNQepY"
"The World","Death Note (1)","https://www.youtube.com/watch?v=8QE9cmfxx4s"
"Steppin' Out","Durarara!!x2 (3)","https://www.youtube.com/watch?v=5r0jdlfqeE4"
"Complication","Durarara!! (2)","https://www.youtube.com/watch?v=PGoHzoZ2OI0"
